date,temperature,humidity,wind_speed,AQI
2024-10-04,23.5,69.0,20.6, 60
2024-10-05,25.25,71.0,21.7, 54
2024-10-06,26.75,68.5,21.9, 51
2024-10-07,26.3,70.5,17.1, 47
2024-10-08,24.8,77.5,16.9, 54
2024-10-09,24.35,79.0,16.9, 57
2024-10-10,24.35,77.0,15.9, 56
2024-10-11,24.05,73.5,15.6, 62
2024-10-12,24.3,74.5,17.0, 53
2024-10-13,24.0,76.5,16.4, 54
2024-10-14,24.3,74.5,17.5, 63
2024-10-15,24.700000000000003,74.5,16.7, 67
2024-10-16,24.3,73.5,16.5, 59
2024-10-17,24.3,73.0,16.9, 54
2024-10-18,24.05,70.0,21.6, 57
2024-10-19,21.95,54.0,22.9, 43
2024-10-20,22.5,41.5,29.7, 46
2024-10-21,21.75,52.0,27.9, 56
2024-10-22,20.7,47.5,29.6, 56
2024-10-23,21.0,29.0,26.3, 51
2024-10-24,22.25,22.5,20.0, 44
2024-10-25,23.15,16.0,17.5, 78
2024-10-26,22.3,33.5,22.9, 111
2024-10-27,22.200000000000003,38.0,26.5, 80
2024-10-28,22.0,48.5,21.1, 83
2024-10-29,20.25,57.0,19.3, 79
2024-10-30,19.5,68.0,13.9, 73
2024-10-31,19.35,66.0,17.1, 68
2024-11-01,21.15,72.5,16.5, 70
2024-11-02,21.2,78.5,18.3, 83
2024-11-03,20.200000000000003,72.0,15.7, 72
2024-11-04,19.8,72.0,12.8, 57
2024-11-05,19.25,71.0,15.3, 67
2024-11-06,22.9,56.0,21.1, 71
2024-11-07,24.9,48.0,20.9, 80
2024-11-08,22.5,52.0,18.6, 82
2024-11-09,19.75,70.5,18.4, 86
2024-11-10,20.1,77.0,17.8, 83
2024-11-11,20.05,77.0,19.4, 65
2024-11-12,20.5,74.0,15.1, 61
2024-11-13,19.15,75.0,14.9, 63
2024-11-14,19.7,75.0,13.0, 65
2024-11-15,19.1,64.0,18.0, 64
2024-11-16,19.65,75.0,12.3, 57
2024-11-17,19.15,64.5,13.6, 50
2024-11-18,17.85,80.5,19.8, 58
2024-11-19,17.450000000000003,86.0,16.4, 44
2024-11-20,17.7,81.5,13.4, 55
2024-11-21,17.85,75.5,9.9, 68
2024-11-22,18.3,76.0,15.7, 85
2024-11-23,19.85,68.0,9.1, 74
2024-11-24,19.0,70.5,28.7, 77
2024-11-25,15.75,51.5,22.7, 37
2024-11-26,13.4,70.0,13.8, 26
2024-11-27,14.0,69.5,16.8, 39
2024-11-28,16.95,77.5,14.3, 42
2024-11-29,16.65,80.5,12.8, 55
2024-11-30,15.95,60.5,14.8, 56
2024-12-01,14.95,60.0,14.5, 74
2024-12-02,15.05,59.0,13.6, 76
2024-12-03,14.65,66.5,9.6, 92
2024-12-04,16.200000000000003,67.0,16.1, 86
2024-12-05,17.5,72.0,11.3, 54
2024-12-06,19.8,49.5,13.1, 62
2024-12-07,18.4,60.5,8.1, 103
2024-12-08,17.25,72.0,11.3, 102
2024-12-09,17.25,55.5,15.7, 69
2024-12-10,16.2,58.5,9.4, 76
2024-12-11,16.15,63.5,7.9, 93
2024-12-12,16.95,78.5,9.3, 93
2024-12-13,18.8,54.0,15.9, 41
2024-12-14,15.7,62.5,16.3, 37
2024-12-15,14.75,45.5,11.8, 49
2024-12-16,14.25,50.0,10.3, 63
2024-12-17,15.85,68.5,10.0, 68
2024-12-18,16.65,49.0,18.4, 75
2024-12-19,15.2,49.5,9.7, 81
2024-12-20,15.55,75.0,22.0, 64
2024-12-21,15.85,79.0,16.1, 62
2024-12-22,16.35,76.0,15.6, 53
2024-12-23,15.25,71.5,16.2, 63
2024-12-24,14.9,73.5,15.8, 63
2024-12-25,14.4,70.0,18.0, 69
2024-12-26,14.75,63.0,15.7, 81
2024-12-27,14.2,57.5,32.9, 111
2024-12-28,14.45,73.0,25.2, 81
2024-12-29,14.4,74.0,20.0, 57
2024-12-30,12.75,83.5,20.8,
2024-12-31,12.65,84.5,17.8, 
2025-01-01,12.3,77.0,8.8, 73
2025-01-02,13.1,69.0,12.8, 82
2025-01-03,11.5,72.0,9.3, 83
2025-01-04,12.75,74.0,7.2, 86
2025-01-05,15.0,66.5,15.6, 106
2025-01-06,15.45,68.0,13.1, 70
2025-01-07,13.9,64.5,10.4, 75
2025-01-08,14.8,58.5,7.5, 75
2025-01-09,16.15,60.5,9.3, 70
2025-01-10,15.5,72.0,15.3, 68
2025-01-11,14.5,80.0,18.8, 77
2025-01-12,15.6,81.5,13.0, 67
2025-01-13,15.25,75.0,7.9, 74
2025-01-14,15.55,62.0,7.9, 81
2025-01-15,14.75,74.0,10.6, 84
2025-01-16,16.2,83.0,11.0, 91
2025-01-17,15.45,79.5,13.6, 77
2025-01-18,13.95,71.5,16.0, 58
2025-01-19,14.35,73.0,12.8, 53
2025-01-20,14.65,76.0,10.3, 59
2025-01-21,15.3,66.0,11.9, 58
2025-01-22,15.35,75.5,13.0, 70
2025-01-23,14.75,81.5,13.1, 49
2025-01-24,14.4,79.5,12.0, 37
2025-01-25,15.2,73.0,9.9, 44
2025-01-26,13.8,80.0,14.2, 55
2025-01-27,14.9,74.0,10.0, 72
2025-01-28,16.3,52.0,15.7, 82
2025-01-29,18.0,44.0,17.9, 67
2025-01-30,16.2,43.5,10.2, 84
2025-01-31,15.05,66.5,16.5, 89
2025-02-01,15.65,69.5,11.5, 44
2025-02-02,15.0,58.0,15.1, 63
2025-02-03,14.65,63.0,9.4, 93
2025-02-04,14.05,69.0,13.0, 99
2025-02-05,15.8,70.5,32.9, 63
2025-02-06,12.9,63.0,34.9, 45
2025-02-07,13.5,54.5,19.9, 32
2025-02-08,13.45,59.5,16.5, 27
2025-02-09,12.0,79.0,16.7, 44
2025-02-10,12.3,80.5,19.4, 49
2025-02-11,13.05,76.0,12.9, 53
2025-02-12,11.65,85.0,15.6, 53
2025-02-13,13.4,58.5,21.2, 41
2025-02-14,12.35,69.0,11.8, 47
2025-02-15,15.0,57.0,13.8, 51
2025-02-16,15.05,72.0,17.8, 64
2025-02-17,14.35,79.5,10.6, 76
2025-02-18,15.0,63.5,8.7, 77
2025-02-19,14.2,78.5,12.2, 80
2025-02-20,15.0,67.0,25.8, 43
2025-02-21,12.65,61.0,22.4, 33
2025-02-22,11.35,63.5,16.3, 32
2025-02-23,9.75,62.0,18.8, 29
2025-02-24,8.3,59.5,17.5, 29
2025-02-25,7.7,50.5,14.7, 50
2025-02-26,10.8,52.5,18.5, 63
2025-02-27,13.25,41.0,18.4, 62
2025-02-28,12.55,51.0,13.9, 64
2025-03-01,13.5,77.5,12.5, 52
2025-03-02,14.1,66.0,15.2, 46
2025-03-03,13.7,68.0,12.0, 58
2025-03-04,15.05,74.0,13.9, 67
2025-03-05,16.2,71.0,15.9, 104
2025-03-06,18.25,44.0,16.4, 96
2025-03-07,15.9,70.0,17.2, 63
2025-03-08,15.75,78.0,17.5, 76
2025-03-09,15.45,79.0,11.6, 72
2025-03-10,16.05,74.5,13.7, 65
2025-03-11,15.85,73.0,15.3, 64
